Projeto:,Avaliador 1:,Avaliador 2:
estrutura da comunidade e o papel dos mamiferos silvestres nos ciclos de transmissao de leishmania spp. e trypanosoma cruzi na zona metropolitana da grande joao pessoa e em remanescentes florestais de mata atlantica da paraiba.,DANIEL OLIVEIRA MESQUITA,MARIA CRISTINA BASILIO CRISPIM DA SILVA
autoecologia de especies de anfibios e repteis em ambientes neotropicais,DENISE DIAS DA CRUZ,VENIA CAMELO DE SOUZA
"diversidade funcional, diversidade filogenetica e diversidade taxonomica da herpetofauna em ambientes netropicais",ANTONIO CHRISTIAN DE ANDRADE MOURA,DENISE DIAS DA CRUZ
pesquisa de especies indicadoras e especies chave em sistemas aquaticos do semi arido,ANA CAROLINA FIGUEIREDO LACERDA SAKAMOTO,VENIA CAMELO DE SOUZA
diagnostico ecodinamico das sub-bacias dos rios velho e acu que integram a area de protecao ambiental (apa) da barra do rio mamanguape no litoral norte da paraiba,ANTONIO CHRISTIAN DE ANDRADE MOURA,MARIA CRISTINA BASILIO CRISPIM DA SILVA
biologia reprodutiva de pilosocereus catingicola (gurke) byles & rowley subsp.salvadorensis (werderm.) zappi (cactaceae) no municipio de bananeiras-pb,DENISE DIAS DA CRUZ,NADJACLEIA VILAR ALMEIDA
erros de especificacao nos modelos de regressao com dispersao variavel,HEMILIO FERNANDES CAMPOS COELHO,LUIZ MEDEIROS DE ARAUJO LIMA FILHO
acupuntura tradicional e laser acupuntura no tratamento das cefaleias primarias: um ensaio clinico randomizado.,EULAMPIO JOSE DA SILVA NETO,FREDERICO BARBOSA DE SOUSA
estudo de cranios com disfuncao na transicao craniovertebral,ANA KARINE FARIAS DA TRINDADE,FREDERICO BARBOSA DE SOUSA
craniometria na populacao nordestina,ANA KARINE FARIAS DA TRINDADE,FREDERICO BARBOSA DE SOUSA
infiltracao de nanoparticulas magneticas no esmalte dental humano normal com fluxo eletrocinetico,ANA KARINE FARIAS DA TRINDADE,EULAMPIO JOSE DA SILVA NETO
avaliacao pre-clinica do efeito do citrato de sildenafil sobre o controle da pressao arterial: foco no balanco autonomico,DAYSE DAS NEVES MOREIRA,JOSIANE DE CAMPOS CRUZ
padronizacao de uma dieta hiperlipidica e aterogenica de baixo custo para uso em modelo experimental de dislipidemia e aterosclerose,ALEXANDRE VASCONCELLOS,JOSIANE DE CAMPOS CRUZ
efeito do desbalanco hidroeletrolitico induzido pela privacao hidrica sobre as respostas cardiovasculares a ativacao dos reflexos cardiovasculares em ratos normotensos e hipertensos.,CLAUDIO GABRIEL LIMA JUNIOR,CAMILLE DE MOURA BALARINI
ecologia e genomica de cactaceae do agreste da paraiba,CARLOS ALBERTO DE ALMEIDA GADELHA,TATIANE SANTI GADELHA
bioprospeccao de proteinas biologicamente ativas em tuberculos nativos e cultivados no nordeste brasileiro,ALEX DA SILVA BARBOSA,JUSCELIO DONIZETE CARDOSO
"isolamento, caracterizacao e atividade de bacterias laticas e deteccao de salmonella e escherichia coli a partir de queijo de coalho de leite de cabra",JUSCELIO DONIZETE CARDOSO,TATIANE SANTI GADELHA
desenvolvimento de um ambiente para simulacao distribuida de sistemas embarcados complexos e heterogeneos,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,CLAUIRTON DE ALBUQUERQUE SIEBRA
"analise da populacao portadora de diabetes usuaria do sus atendida no municipio de joao pessoa quanto aos indicadores clinicos, geneticos, socio-demograficos, educacionais e atitudinais relacionados as complicacoes cronicas",CLAUDIO SERGIO MEDEIROS PAIVA,LUCIO ROBERTO CANCADO CASTELLANO
"lectinas extraidas de leguminosas do nordeste brasileiro: isolamento, purificacao e potencial antimicrobiano frente a bacterias gram negativas de importancia epidemiologica",CARLOS ALBERTO DE ALMEIDA GADELHA,JUSCELIO DONIZETE CARDOSO
"investigacao de lectinas extraidas da flora brasileira: isolamento, purificacao e abordagem na atividade antimicrobiano",JULIANE ALVES,TATIANE SANTI GADELHA
"investigacao de lectinas extraidas da flora brasileira: isolamento, purificacao e abordagem biotecnologica",JULIANE ALVES,TATIANE SANTI GADELHA
"purificacao, caracterizacao e atividade biologica de lectinas presentes em vegetais",ALEX DA SILVA BARBOSA,JULIANE ALVES
isolamento e atividade biologica de peptideos de leite de cabra,CARLOS ALBERTO DE ALMEIDA GADELHA,JUSCELIO DONIZETE CARDOSO
avaliacao in vitro da atividade antimicrobiana do mel da abelha melipona scutellaris sobre agentes causadores de inflamacoes dos condutos auditivos de pequenos animais,CICERO FRANCISCO BEZERRA FELIPE,REINALDO NOBREGA DE ALMEIDA
"investigacao do efeito espasmolitico de derivados sulfonilidrazonicos do lassbio-448, um analogo do rolipram",ISLANIA GISELIA ALBUQUERQUE GONCALVES,ROBSON CAVALCANTE VERAS
investigacao do efeito espasmolitico de oleos essenciais de especies do genero hyptis (lamiaceae),EDELTRUDES DE OLIVEIRA LIMA,REINALDO NOBREGA DE ALMEIDA
avaliacao do efeito neuroprotetor de terpenos sobre parametros neuroquimicos de estresse oxidativo e  inflamacao em animais submetidos a convulsao  induzida por pentilenotetrazol,EDELTRUDES DE OLIVEIRA LIMA,MARIA DO SOCORRO DE FRANCA SILVA
educservice: proposta e avaliao de aplicativos e servios de suporte ao  processo de ensino-aprendizagem,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,ED PORTO BEZERRA
atividade antifungica de oleos essenciais e fitoconstituintes contra fungos potencialmente patogenicos (oportunistas),BAGNOLIA ARAUJO DA SILVA,ISLANIA GISELIA ALBUQUERQUE GONCALVES
estudo da atividade espasmolitica de produtos naturais obtidos dos generos zornia e croton,REINALDO NOBREGA DE ALMEIDA,ROBSON CAVALCANTE VERAS
estudo da atividade espasmolitica de produtos naturais marinhos do genero oceanapia,ANNE EVELYNE FRANCO DE SOUZA,MARIA DO SOCORRO DE FRANCA SILVA
"caracterizacao do efeito vasodilatador dos nitratos organicos gtn, nthf, bis-nthf e ncoe em vasos isolados de cordao umbilical humano",CICERO FRANCISCO BEZERRA FELIPE,MARIANNA VIEIRA SOBRAL CASTELLO BRANCO
estudos farmacodinamicos de produtos naturais e/ou sinteticos bioativos com potencial antioxidante sobre a funcao eretil de ratos: estudos in vivo e in vitro,ANNE EVELYNE FRANCO DE SOUZA,MARIA DO SOCORRO DE FRANCA SILVA
caracterizacao dos efeitos do monoterpeno timol na disfuncao eretil de ratos diabeticos induzidos por estreptozotocina,EDELTRUDES DE OLIVEIRA LIMA,REINALDO NOBREGA DE ALMEIDA
avaliacao dos efeitos cardiovasculares induzidos pelo borneol no sistema cardiovascular de ratos normotensos e com hipertensao renovascular,CICERO FRANCISCO BEZERRA FELIPE,FABIANA DE ANDRADE CAVALCANTE
avaliacao da toxicidade e atividade antitumoral de produtos naturais e sinteticos bioativos,ANNE EVELYNE FRANCO DE SOUZA,ISLANIA GISELIA ALBUQUERQUE GONCALVES
estudo do efeito central/antinociceptivo e das alteracoes neuroquimicas apos administracao do 3-careno e/ou outros monoterpenos em camundongos,ANNE EVELYNE FRANCO DE SOUZA,ISLANIA GISELIA ALBUQUERQUE GONCALVES
"estudo da atividade antiagregante plaquetaria, antitrombotica e vasorelaxante de compostos de origem natural e/ou sintetica",CICERO FRANCISCO BEZERRA FELIPE,MARIA DO SOCORRO DE FRANCA SILVA
reminiscencias institucional da ufpb:  memorias de reitores (1955-2016),ELIANE BEZERRA PAIVA,MARYNICE DE MEDEIROS MATOS AUTRAN
avaliacao do efeito de substancias naturais e sinteticas no tratamento de rinite alergica experimental.,MARCIA REGINA PIUVEZAM,SANDRA RODRIGUES MASCARENHAS
"avaliacao da atividade antialergica da warifteina, um alcaloide de cissampelos  sympodialis echl (menispermaceae).",SANDRA RODRIGUES MASCARENHAS,TATJANA KEESEN DE SOUZA LIMA CLEMENTE
efeito do tratamento com o alcaloide tetrahidroisoquinolinico sintetico mhtp em modelo experimental de rinite alergica.,SANDRA RODRIGUES MASCARENHAS,TATJANA KEESEN DE SOUZA LIMA CLEMENTE
"efeito do tratamento com o 1,4 - cineol em modelo experimental de lesao pulmonar aguda.",GICIANE CARVALHO VIEIRA,TATJANA KEESEN DE SOUZA LIMA CLEMENTE
mecanismos envolvidos no efeito anti-inflamatorio da ouabaina,MARCIA REGINA PIUVEZAM,TATJANA KEESEN DE SOUZA LIMA CLEMENTE
leishmaniose visceral humana: estudo de marcadores imunologicos e sua importancia no prognostico de doenca sintomatica e assintomatica,MARCIA REGINA PIUVEZAM,SANDRA RODRIGUES MASCARENHAS
potencialidade e natureza de compostos antimicrobianos produzidos por staphyloccocus aureus sobre microrganismos de interesse na area de alimentos,KRYSTYNA GORLACH LIRA,THOMPSON LOPES DE OLIVEIRA
estudo da sensibilidade antimicrobiana de klebsiella pneumoniae em isolados clinicos,CYBELLE DE OLIVEIRA DANTAS,KRYSTYNA GORLACH LIRA
perfil epidemiologico dos adenocarcinomas gastricos operados em um centro de referencia estadual e analise dos fatores de risco,CYBELLE DE OLIVEIRA DANTAS,THOMPSON LOPES DE OLIVEIRA
diversidade de bacterias associadas aos cnidarios sadios e doentes dos recifes costeiros da paraiba,PATRICIA PINHEIRO FERNANDES VIEIRA,THOMPSON LOPES DE OLIVEIRA
monitoramento inteligente e pervasivo da saude humana,ALISSON VASCONCELOS DE BRITO,LEONARDO VIDAL BATISTA
atividade enzimatica de bacterias associadas aos corais do genero siderastrea dos recifes costeiros da paraiba,CYBELLE DE OLIVEIRA DANTAS,THOMPSON LOPES DE OLIVEIRA
polpas de frutas caseiras: avaliacao da qualidade higienico sanitaria de polpas de frutas produzidas e comercializadas nas feiras livres e mercados publicos do municipio de joao pessoa,JOSE SOARES DO NASCIMENTO,KRYSTYNA GORLACH LIRA
determinacao de metabolitos bioativos a partir de cepas de streptomyces spp.,JOSE SOARES DO NASCIMENTO,KRYSTYNA GORLACH LIRA
prevalencia e fatores associados a enteroparasitoses em escolares,EUFRASIO DE ANDRADE LIMA NETO,ERCULES EPAMINONDAS DE SOUSA TEOTONIO
diagnostico da utilizacao de geossinteticos em obras de engenharia na cidade de joao pessoa/pb,ANDRE JACOMEL TORII,ROBERTO LEAL PIMENTEL
otimizacao estrutural considerando incertezas,ANGELO VIEIRA MENDONCA,NORMANDO PERAZZO BARBOSA
analise e dimensionamento de estruturas assistidos por computador,ALINE FLAVIA NUNES REMIGIO ANTUNES,ROBERTO LEAL PIMENTEL
analise de series temporais hidrologicas usando a transformada wavelet,ANGELO VIEIRA MENDONCA,HEBER PIMENTEL GOMES
modelagem hidrossedimentologica em regioes criticas,HEBER PIMENTEL GOMES,NORMANDO PERAZZO BARBOSA
utilizacao das ferramentas de geoprocessamento no manejo de bacias hidrograficas e na gestao dos recursos naturais,ALINE FLAVIA NUNES REMIGIO ANTUNES,CELSO AUGUSTO GUIMARAES SANTOS
plataforma remota para ensino de robotica a distancia,ED PORTO BEZERRA,FERNANDO MENEZES MATOS
otimizacao energetica de sistemas de abastecimento de agua,ANDRE JACOMEL TORII,ROBERTO LEAL PIMENTEL
analise economica de projeto de eficiencia hidraulica e energetica em saneamento,ANGELO VIEIRA MENDONCA,RICARDO ALMEIDA DE MELO
blocos de terra crua estabilizados alcalinamente: uma inovacao no campo da construcao de menor impacto ambiental,ALINE FLAVIA NUNES REMIGIO ANTUNES,CELSO AUGUSTO GUIMARAES SANTOS
uso de materiais convencionais em pavimentacao,ALINE FLAVIA NUNES REMIGIO ANTUNES,CELSO AUGUSTO GUIMARAES SANTOS
sistemas de gerencia de infraestrutura urbana,ANDRE JACOMEL TORII,NORMANDO PERAZZO BARBOSA
analise de vibracoes induzidas por pedestres em passarelas,ANGELO VIEIRA MENDONCA,HEBER PIMENTEL GOMES
avaliacao de capacidade resistente de lajes de concreto mediante testes de vibracao e modelagem computacional,CELSO AUGUSTO GUIMARAES SANTOS,NORMANDO PERAZZO BARBOSA
cominuicao e classificacao dos concentrados gravimetricos de minerais de tantalo contido nas rochas pegmatiticas,ANA FLAVIA UZEDA DOS SANTOS MACAMBIRA,FERNANDA FERNANDES DE MELO
desenvolvimento de nanocompositos de pla com nanowhiskers de celulose,ITAMARA FARIAS LEITE,RAMON ALVES TORQUATO
desenvolvimento de madeira plastica a partir da mistura de residuos plasticos com residuos lignocelulosicos regionais,DANNIEL FERREIRA DE OLIVEIRA,RICARDO PEIXOTO SUASSUNA DUTRA
infograficos interativos no processo de visualizacao de dados,CLAUIRTON DE ALBUQUERQUE SIEBRA,LEONARDO VIDAL BATISTA
desenvolvimento de madeira plastica com nanoparticulas de prata para melhorar a resistencia a fungos de compositos de madeira plastica,DANIELLE GUEDES DE LIMA CAVALCANTE,POLLYANA CAETANO RIBEIRO FERNANDES
desenvolvimento de eletroceramicas a base de ceria (ceo2),MARIA ROSEANE DE PONTES FERNANDES,MAX ROCHA QUIRINO
desenvolvimento de cermets cu-cgo como anodos de celula a combustivel,DANIELLE GUEDES DE LIMA CAVALCANTE,TIBERIO ANDRADE DOS PASSOS
desenvolvimento de materiais para conversao de energia,FLAVIA DE MEDEIROS AQUINO,MARIA ROSEANE DE PONTES FERNANDES
desenvolvimento de compositos de epoxi reforcados com pos quasicristalinos com uso potencial no revetimento de dutos.,DANNIEL FERREIRA DE OLIVEIRA,POLLYANA CAETANO RIBEIRO FERNANDES
"ligas cu-al-be com memoria de forma e elevada histerese: obtencao, propriedades e aplicacao.",ELITON SOUTO DE MEDEIROS,RAMON ALVES TORQUATO
estudo das propriedades piezoeletricas de compositos de silicone/zno,AMELIA SEVERINO FERREIRA E SANTOS,POLLYANA CAETANO RIBEIRO FERNANDES
desenvolvimento de polimeros renovaveis a partir da sintese do glicerol com acidos dicarboxilicos,DEBORA ALBUQUERQUE VIEIRA,RENATE MARIA RAMOS WELLEN
"desenvolvimento de estruturas porosas feitas de polimeros para aplicacoes em engenharia de tecidos, pela combinacao de tecnicas: fiacao por sopro em solucao (solution blow spinning) e separacao de fase termicamente induzida (thermally induced phase separa",DANNIEL FERREIRA DE OLIVEIRA,RAMON ALVES TORQUATO
obtencao de grafeno a partir da grafite para o uso em nanocompositos polimericos a base de poliolefinas,AMELIA SEVERINO FERREIRA E SANTOS,POLLYANA CAETANO RIBEIRO FERNANDES
gerenciamento de redes de sensores sem fio para cidades inteligentes,ED PORTO BEZERRA,LEONARDO VIDAL BATISTA
desenvolvimento de materiais ceramicos para utilizacao em  celulas a combustivel de oxido solido (sofc).,ITAMARA FARIAS LEITE,RICARDO PEIXOTO SUASSUNA DUTRA
"beneficiamento por hidrociclonagem e secagem por spray dryer de variedades pouco nobres de bentonitas de boa vista-pb, visando melhoria de suas propriedades reologicas",DEBORA ALBUQUERQUE VIEIRA,TIBERIO ANDRADE DOS PASSOS
"propriedade reologicas de fluidos nao-aquosos: sua correlacao com a sorcao de tensoativos, durante o processo de organofilizacao e a influencia do processo de secagem por spray dryer",ELITON SOUTO DE MEDEIROS,SEVERINO JACKSON GUEDES DE LIMA
preparacao de filmes polimericos constituidos de polimeros biodegradaveis,DANIELLE GUEDES DE LIMA CAVALCANTE,FABIANA DE CARVALHO FIM
caracterizacoes de fibra de piacava e biocompositos polimericos,FLAVIA DE MEDEIROS AQUINO,RAMON ALVES TORQUATO
compositos niquel - fase quasicristal produzidos via metalurgia do po,MAX ROCHA QUIRINO,RICARDO PEIXOTO SUASSUNA DUTRA
desenvolvimento de compositos de matriz metalica a base niquel,DANIELLE GUEDES DE LIMA CAVALCANTE,MAX ROCHA QUIRINO
sintese do aluminato de zinco atraves do metodo hidrotermico assistido por micro-ondas (hmo) utilizando novos precursores para aplicacao como catalisador na obtencao do biodiesel,FLAVIA DE MEDEIROS AQUINO,HEBER SIVINI FERREIRA
celulas solares sensibilizadas por corante a partir de nanoestruturas de tio2 co-dopada com os lantanideos er3+ e yb3+ usando o mecanismo up-conversion,AMELIA SEVERINO FERREIRA E SANTOS,ITAMARA FARIAS LEITE
sinterizacao dos semicondutores magneticos diluidos para aplicacao em spintronica,DEBORA ALBUQUERQUE VIEIRA,LUCINEIDE BALBINO DA SILVA
analise nao linear aplicada a equacoes diferenciais elipticas,FAGNER DIAS ARARUNA,JOEDSON SILVA DOS SANTOS
novas fronteiras para pesquisa em redes de comunicacao,FERNANDO MENEZES MATOS,VIVEK NIGAM
cristalizacao do poli(3-hidroxibutirato) (phb) em bionanocompositos com cargas especiais,DANNIEL FERREIRA DE OLIVEIRA,RICARDO PEIXOTO SUASSUNA DUTRA
variaveis fundamentais das tecnicas instrumentais e nao instrumentais na caracterizacao de argilas,DEBORA ALBUQUERQUE VIEIRA,MARIA ROSEANE DE PONTES FERNANDES
utilizacao da hidrociclonagem e da secagem por atomizacao no beneficiamento de materias-primas ceramicas,ELITON SOUTO DE MEDEIROS,MARIA ROSEANE DE PONTES FERNANDES
estudo e avaliacao de procedimentos de soldagem de juntas dissimilares visando aplicacao na industria do petroleo,AMELIA SEVERINO FERREIRA E SANTOS,ITAMARA FARIAS LEITE
aplicacoes de quasicristais na industria de petroleo,DANIEL ARAUJO DE MACEDO,MAX ROCHA QUIRINO
concepcao de circuitos integrados de alta-frequencia,CICERO DA ROCHA SOUTO,ISAAC SOARES DE FREITAS
geracao de energia eletrica utilizando material piezoeletrico,ANTONIO AUGUSTO LISBOA DE SOUZA,ROMERO LEANDRO ANDERSEN
caracterizacao de dispositivos baseados em materiais piezoeletricos e materiais com memoria de forma,DARLAN ALEXANDRIA FERNANDES,KLEBER CARNEIRO DE OLIVEIRA
circuitos de colheita de energia para nos sensores sem-fio,FABIANO SALVADORI,YURI PERCY MOLINA RODRIGUEZ
rede de sensores sem-fio para monitoramento de monoxido de carbono,FABRICIO BRAGA SOARES DE CARVALHO,NADY ROCHA
desenvolvimento de ferramentas computacionais para a promocao da igualdade de genero na ciencia da computacao,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,THAIS GAUDENCIO DO REGO
sistema de medicao e caracterizacao de materiais ferromagneticos,FABIANO SALVADORI,KLEBER CARNEIRO DE OLIVEIRA
compensador de tensao serie trifasico,CLEONILSON PROTASIO DE SOUZA,NADY ROCHA
otimizacao de conversores em sistemas fotovoltaicos,KLEBER CARNEIRO DE OLIVEIRA,ROMERO LEANDRO ANDERSEN
aplicacao de tecnicas do processamento digital de imagens e visao computacional em sistema de visao de robos de competicao,ANTONIO AUGUSTO LISBOA DE SOUZA,FABRICIO BRAGA SOARES DE CARVALHO
"amodelagem, simulacao e identificacao das condicoes de sombra sobre um gerador solar fotovoltaico",DARLAN ALEXANDRIA FERNANDES,FABRICIO BRAGA SOARES DE CARVALHO
desenvolvimento de aplicativo para calculo de fluxo de carga trifasico em redes de distribuicao primaria,DARLAN ALEXANDRIA FERNANDES,KLEBER CARNEIRO DE OLIVEIRA
sistema de automacao para sistemas de potencia utilizando redes hibridas de comunicacao para aplicacoes em smart grids,CLEONILSON PROTASIO DE SOUZA,EULER CASSIO TAVARES DE MACEDO
geracao distribuida em redes eletricas inteligentes: otimizacao da geracao a partir de fontes eolicas.,CICERO DA ROCHA SOUTO,FABRICIO BRAGA SOARES DE CARVALHO
automacao de ambientes residenciais e industriais por meio de redes de sensores sem fio,ANTONIO AUGUSTO LISBOA DE SOUZA,NADY ROCHA
analises e acionamento de maquinas eletricas polifasicas,CICERO DA ROCHA SOUTO,EULER CASSIO TAVARES DE MACEDO
pesquisa e desenvolvimento de um sistema de reconhecimento biometrico por impressao digital,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,FERNANDO MENEZES MATOS
estudo dos parametros de desempenho de paineis fotovoltaicos,EULER CASSIO TAVARES DE MACEDO,FABIANO SALVADORI
sistema de geracao eolica com conexao a rede monofasica utilizando maquina de inducao de rotor bobinado,CICERO DA ROCHA SOUTO,ROMERO LEANDRO ANDERSEN
conversores cc-cc trifasicos hibridos para fontes renovaveis de baixa tensao,CLEONILSON PROTASIO DE SOUZA,FABIANO SALVADORI
conversores cc-cc nao isolados de alto ganho com grampeamento ativo,CLEONILSON PROTASIO DE SOUZA,EULER CASSIO TAVARES DE MACEDO
alocacao otima de fontes renovaveis na ufpb,ANTONIO AUGUSTO LISBOA DE SOUZA,NADY ROCHA
sensor de corrente energeticamente autonomo no ambiente smart grid,DARLAN ALEXANDRIA FERNANDES,ROMERO LEANDRO ANDERSEN
sistema embarcado para deteccao de falhas em veiculos automotivos pela analise sonora,CRISTIANE KELLY FERREIRA DA SILVA,GILBERTO AUGUSTO AMADO MOREIRA
"desenvolvimento e avaliacao de desempenho de  um sistema de poligeracao usando um motor de combustao interna e um chiller de absorcao, o aquecimento de uma usina de biodiesel e micro unidade de potencia em ciclo rankine.",ABEL CAVALCANTE LIMA FILHO,JOSE MAURICIO ALVES DE MATOS GURGEL
investigacao teorica - experimental da secagem de produtos agricolas em um secador solar hibrido,GILBERTO AUGUSTO AMADO MOREIRA,SIMPLICIO ARNAUD DA SILVA
desenvolvimento de modelo de camada limite atmosferica,CRISTIANE KELLY FERREIRA DA SILVA,JOSE MAURICIO ALVES DE MATOS GURGEL
analise automatica de fotografias digitais para verificacao de aderencia ao padrao icao,ALISSON VASCONCELOS DE BRITO,LILIANE DOS SANTOS MACHADO
desenvolvimento numerico e experimental de uma central de ar condicionado por adsorcao,ABEL CAVALCANTE LIMA FILHO,JOSE FELIX DA SILVA NETO
superficies seletivas absorvedoras aplicadas a coletores solares para operacao em medias e altas temperaturas,ABEL CAVALCANTE LIMA FILHO,GILBERTO AUGUSTO AMADO MOREIRA
desenvolvimento de sistema hibrido de climatizacao solar  adsorcao e fotovoltaico.,CRISTIANE KELLY FERREIRA DA SILVA,RAIMUNDO APRIGIO DE MENEZES JUNIOR
estudo de metodos numericos aplicados a analise de estruturas,JOSE MAURICIO ALVES DE MATOS GURGEL,SIMPLICIO ARNAUD DA SILVA
atuadores termoeletricos inteligentes,ABEL CAVALCANTE LIMA FILHO,GILBERTO AUGUSTO AMADO MOREIRA
separacao do oleo da agua produzida por adsorcao utilizando bagaco da cana de acucar como adsorvente,RAUL ROSENHAIM,SILVIA LAYARA FLORIANI ANDERSEN
producao de hidrocarbonetos por hidrotratamento a partir de oleos vegetais,NATALY ALBUQUERQUE DOS SANTOS,RENNIO FELIX DE SENA
producao de carvao ativado de qualidade superior para uso no armazenamento de gas natural ou em tratamentos de agua,NATALY ALBUQUERQUE DOS SANTOS,SILVIA LAYARA FLORIANI ANDERSEN
determinacao de microemulcoes a base de glicerina para serem utilizados na recuperacao de petroleo,RENNIO FELIX DE SENA,VIVIAN STUMPF MADEIRA
utilizacao de argilomineral na adsorcao de corantes proveniente de efluente textil,FABIOLA DIAS DA SILVA CURBELO,RAUL ROSENHAIM
ambientes virtuais para educacao e capacitacao em saude,PABLO BRILHANTE DE SOUSA,CARLOS XAVIER DE AZEVEDO NETTO
avaliacao e otimizacao do uso de lignina residual como adsorvente de inibidores na producao de bioetanol,EMERSON FREITAS JAGUARIBE,SILVIA LAYARA FLORIANI ANDERSEN
producao de pastilhas de carvoes ativados a partir do bagaco  de cana de acucar,JOSILENE DE ASSIS CAVALCANTE,NATALY ALBUQUERQUE DOS SANTOS
estudo da secagem do ovo em camada de espuma (foam-mat drying),GENARO ZENAIDE CLERICUZI,MERCIA MELO DE ALMEIDA MOTA
estudo da secagem do noni em camada de espuma (foam-mat drying),EMERSON FREITAS JAGUARIBE,VERUSCKA ARAUJO SILVA
enriquecimento proteico da mistura bagaco de caju e brotos de palma por processos biotecnologicos,FABIOLA DIAS DA SILVA CURBELO,JOSILENE DE ASSIS CAVALCANTE
avaliacao do potencial da cana energia para producao de energia renovavel,ALFREDO ISMAEL CURBELO GARNICA,VERUSCKA ARAUJO SILVA
avaliacao do processo de desoxigenacao catalitica do oleo de babacu para producao de bioquerosene de aviacao,EMERSON FREITAS JAGUARIBE,JOELMA MORAIS FERREIRA
tratamento secundario de aguas e utilizando processos de oxidacao avancada.,ALFREDO ISMAEL CURBELO GARNICA,SHARLINE FLORENTINO DE MELO SANTOS
remocao de poluentes organicos de aguas e efluentes utilizando processos de oxidacao avancada,ALFREDO ISMAEL CURBELO GARNICA,SILVIA LAYARA FLORIANI ANDERSEN
producao de celulases e xilanases por fungos isolados do solo da industria sucroalcooleira pelo cultivo semissolido,JOSILENE DE ASSIS CAVALCANTE,RAUL ROSENHAIM
serious games para a educacao e treinamento,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,JOSILENE AIRES MOREIRA
adsorventes de baixo custo provenientes de residuos agroindustriais para a remocao de corantes,EMERSON FREITAS JAGUARIBE,VIVIAN STUMPF MADEIRA
aproveitamento energetico de residuos lignocelulosicos por meio de conversao termica,FABIOLA DIAS DA SILVA CURBELO,RAUL ROSENHAIM
desidratacao osmotica de frutas regionais,FABIOLA DIAS DA SILVA CURBELO,NATALY ALBUQUERQUE DOS SANTOS
